freq_GHz,S11_dB,S11_deg,S21_dB,S21_deg,S12_dB,S12_deg,S22_dB,S22_deg
0,0,0,0,0,0,0,0,0
1.0,-18.398,72.486,-0.128,5.475,-0.128,5.475,-18.398,72.486
1.5,-14.646,70.459,-0.294,8.234,-0.294,8.234,-14.646,70.459
2.0,-12.049,68.007,-0.536,11.020,-0.536,11.020,-12.049,68.007
2.5,-10.080,64.875,-0.860,13.842,-0.860,13.842,-10.080,64.875
3.0,-8.499,60.725,-1.279,16.720,-1.279,16.720,-8.499,60.725
3.5,-7.184,55.053,-1.819,19.669,-1.819,19.669,-7.184,55.053
4.0,-6.072,47.266,-2.530,22.699,-2.530,22.699,-6.072,47.266
4.5,-5.177,36.523,-3.497,25.788,-3.497,25.788,-5.177,36.523
5.0,-4.591,21.713,-4.876,28.801,-4.876,28.801,-4.591,21.713
5.5,-4.435,1.744,-6.892,33.004,-6.892,33.004,-4.435,1.744
6.0,-4.785,-28.104,-9.338,41.945,-9.338,41.945,-4.785,-28.104
