freq_GHz,S11_dB,S11_deg,S21_dB,S21_deg,S12_dB,S12_deg,S22_dB,S22_deg
1.0,-18.398,72.486,-0.128,5.475,-0.128,5.475,-18.398,72.486
1.5,-14.646,70.459,-0.294,8.234,-0.294,8.234,-14.646,70.459
2.0,-12.049,68.007,-0.536,11.020,-0.536,11.020,-12.049,68.007
2.5,-10.080,64.875,-0.860,13.842,-0.860,13.842,-10.080,64.875
3.0,-8.499,60.725,-1.279,16.720,-1.279,16.720,-8.499,60.725
3.5,-7.184,55.058,-1.814,19.683,-1.814,19.683,-7.184,55.058
4.0,-6.083,47.157,-2.494,22.779,-2.494,22.779,-6.083,47.157
4.5,-5.181,35.988,-3.371,26.092,-3.371,26.092,-5.181,35.988
5.0,-4.524,20.108,-4.544,29.799,-4.544,29.799,-4.524,20.108
5.5,-4.258,-1.723,-6.268,34.419,-6.268,34.419,-4.258,-1.723
6.0,-4.785,-28.104,-9.338,41.945,-9.338,41.945,-4.785,-28.104
